1break;2breaks
0,46576;0,47555
0,2525;-1,23353
0,82445;0,48952
0,35017;0,63349
0,36112;-1,69474
1,11666;0,63009
0,16969;0,56278
0,44048;0,18382
0,55165;0,66407
0,3423;0,13147
0,40075;-1,67993
-1,96885;0,59144
0,65833;0,32815
-1,66343;0,20162
-2,61249;-1,60883
-1,54066;0,90697
0,10504;0,4421
0,97184;1,7775
0,38169;0,96801
-1,49828;0,63575
-1,468;-2,84901
0,1462;-1,22927
0,48346;-1,25745
-1,17815;0,65325
0,42626;0,53272
0,55945;0,53094
-1,93604;0,85656
0,58329;0,67156
0,10042;0,42411
-1,35627;-2,88262
0,60291;0,27387
0,61773;0,50538
0,408;1,29275
-1,4362;0,61028
0,32627;0,93772
0,47556;0,91267
0,32733;0,43213
0,85686;0,92786
0,2983;0,49391
0,15272;0,97798
0,13257;0,19013
0,48649;0,14201
0,48692;0,38524
0,25573;1,26876
0,61315;0,43461
0,54065;0,36145
0,62634;0,58626
0,16446;0,85261
0,18872;0,73582
0,65739;0,34255
0,77146;0,63639
0,57864;0,52109
0,1645;0,65372
0,1538;0,71166
0,99743;0,50899
0,98694;0,95565
0,63976;0,3742
0,54258;-1,41483
0,23485;0,22107
0,4456;0,36348
0,57451;0,34406
0,39867;0,17926
0,79485;1,82548
0,14092;0,44524
0,12835;-1,44042
0,4338;1,43561
0,46466;0,24271
0,92349;0,87189
0,32057;1,27364
0,48759;0,87427
0,12972;0,59526
0,62265;0,27204
0,95129;0,4971
0,9578;0,25851
0,16849;0,59199
0,29752;-1,9398
0,65331;-2,16399
-1,68922;0,79461
1,48142;1,2604
0,71395;0,25134
1,77591;-1,191
-1,21039;0,59639
1,32388;0,4672
0,37607;0,64683
0,67184;1,40208
0,47909;0,15107
-1,14448;0,25606
0,40199;-1,30486
0,35666;0,93307
0,72865;0,89127
0,99273;-1,20872
0,73427;0,57862
0,57244;-1,10408
0,30125;0,80356
0,82755;-1,27488
0,71647;-1,64317
0,33606;0,20852
0,4539;0,72995
0,21964;0,6651
0,29099;0,4487
0,10388;0,40845
1,59167;-1,68355
0,45309;-1,13255
0,26337;1,11462
1,11687;1,69586
0,14367;0,14299
0,23479;0,76238
0,7651;0,94368
0,15497;0,58702
0,55488;0,27346
0,81329;0,40082
-1,1356;0,40061
0,93857;0,67281
0,26491;1,1605
0,59127;1,63591
0,29258;0,89518
0,91723;0,84276
0,73543;1,13065
0,12668;0,61373
0,49005;0,55365
0,56854;0,30005
0,57055;0,13933
-1,52779;0,53856
0,53209;0,86389
0,40707;-1,15514
0,25444;-1,29422
1,59187;0,83909
0,98535;0,55467
-1,77781;0,25203
1,72817;0,31767
-1,35737;0,52626
0,32328;0,8364
0,38166;0,55912
0,29559;0,36542
0,91381;0,56512
0,81122;-1,31829
0,39554;-2,38298
1,40125;0,34798
-1,88641;0,68652
0,51876;1,15347
0,84792;0,54296
0,46774;0,93165
0,11784;0,429
0,23295;0,88351
0,63932;0,485
0,84986;0,38775
0,49936;-2,41825
0,16872;0,61222
0,79579;0,92479
0,76158;0,13207
0,55217;0,3774
-1,19614;0,3496
0,37225;-1,33005
0,26103;0,30456
-1,12431;0,9296
0,65004;1,11321
0,79566;1,18119
-1,35043;0,57254
-1,11693;-1,32086
1,57597;-1,23174
1,55896;2,68429
0,36342;2,13327
-2,40707;0,253
2,62661;-2,3868
0,41206;0,6761
-1,25005;0,16333
0,68955;0,2547
-1,30119;0,57256
0,23547;0,94868
0,86025;0,50517
0,55844;0,89846
0,92617;0,90089
0,33562;0,7102
0,34755;2,25878
0,92011;0,62783
0,63609;0,71929
0,14154;0,61071
0,41266;-1,49874
0,37333;0,39143
-1,1457;0,7846
0,45993;0,6913
0,9754;0,41303
0,57048;0,23635
0,18801;0,18302
0,27159;0,46008
0,93;0,19447
0,64595;-1,30825
0,62953;0,44253
0,79565;0,67728
0,42792;0,24478
0,65055;-1,74359
0,39159;0,24906
0,1629;0,41861
1,21245;0,9334
0,27267;1,84332
0,38963;-3,53172
0,4287;1,28776
0,84343;2,18107
0,98067;1,69555
0,83078;0,92771
0,14184;0,43601
0,32623;0,37638
0,7661;-1,99905
0,23254;0,36537
0,21608;1,49182
-1,27307;0,30167
0,76894;0,9808
-1,16157;1,32958
0,15433;1,21068
0,92278;0,12406
0,35217;0,34088
0,49561;-1,39685
1,11314;0,32037
1,15552;0,17952
0,7063;0,15987
2,33065;0,17
0,2348;0,2055
0,87311;0,73038
1,35393;0,27584
1,25979;0,45045
0,34587;0,818
0,91009;0,14215
0,65136;0,62512
0,74168;0,83118
-1,62823;0,8855
0,63907;0,93182
-1,5191;0,4155
0,9607;0,80706
0,63373;0,97389
0,97353;0,27527
0,89552;0,14465
0,95807;0,66388
0,44034;-1,48951
0,50885;0,35668
1,19751;0,41292
0,43278;1,26864
-1,48382;0,63503
-1,28491;0,31958
-2,51831;-1,59107
2,37114;0,57155
0,21534;0,29816
0,75187;1,41797
0,252;0,75048
2,12904;1,56183
0,51834;2,29587
-1,18258;1,90007
-1,39066;-2,2255
3,93861;0,66382
1,14979;-2,66425
0,71608;0,28048
0,70968;-2,83192
0,10868;1,87105
2,45846;2,69163
0,91367;2,23565
1,99155;1,72761
-1,25179;0,52442
1,38768;0,64543
0,5075;0,29114
0,16011;4,12147
0,71986;0,49404
0,91528;-2,51357
0,86882;0,21239
0,76123;-2,71829
0,20453;0,19219
-1,40515;0,43054
0,92104;1,53969
1,97961;0,93513
0,8378;0,14006
1,39185;0,31704
0,54287;0,3737
3,57867;0,95152
-1,35678;0,85569
3,27619;0,21327
0,19035;0,18215
2,48094;0,22935
3,13287;0,17559
0,20281;0,19678
0,78343;0,213
0,21289;0,33972
0,22123;0,48741
2,50053;1,34503
0,8943;0,62734
0,37871;0,43276
0,50666;0,29058
1,15357;0,75161
2,10544;0,42159
-1,19194;0,77163
0,25391;0,57042
0,27168;0,57235
0,63341;0,75102
0,84758;0,16415
0,30655;0,99069
1,10242;0,32406
0,97279;0,97462
0,4758;0,41833
0,29606;0,3363
0,35522;0,56854
0,19567;0,81989
0,33478;0,67696
0,62714;0,40323
0,99286;-1,66801
0,82167;0,66368
0,43831;0,71497
1,62418;0,27453
0,36682;0,73076
-1,66884;-1,6162
1,83029;0,20273
0,61409;1,97216
1,11871;0,5923
0,2915;0,56238
0,75737;1,20593
0,14316;0,23746
1,60708;1,98002
0,37936;-1,70264
0,41172;1,20659
0,25219;0,45879
-1,78437;0,21969
1,25205;0,73806
-2,94398;0,6409
1,68271;0,24913
1,65449;0,52168
-3,92436;-1,28998
3,66798;0,87242
2,55097;2,63996
0,18241;0,90413
0,44667;-2,52159
0,31687;0,45907
-1,63906;0,2474
1,34307;0,554
0,74273;0,7043
1,9966;0,40142
0,85778;-1,83704
0,26622;0,33551
-2,34752;1,2789
-1,50016;1,59143
1,72466;0,32691
0,57979;0,1811
1,62241;0,22806
0,2994;1,94823
0,8058;-2,27309
0,55479;0,77662
0,55729;0,89131
0,10465;0,67473
0,33411;0,40387
0,12027;0,729
0,78157;-1,75546
0,10844;0,34654
0,54395;0,58846
1,28437;0,70469
0,23615;0,10688
0,61102;0,62355
0,30955;0,89146
0,32478;1,27785
0,96795;-1,12322
1,94895;0,87993
0,20862;0,79781
0,647;0,17866
-1,86087;0,66212
0,86852;0,95669
0,32792;0,67454
0,95589;0,43824
0,27709;-1,45923
0,8147;-1,54387
0,41334;0,66549
-1,86084;0,6112
0,68488;0,96423
0,15246;0,1191
0,9189;0,95266
0,36743;0,34185
0,55723;0,69208
0,37518;0,43316
0,52069;0,27214
0,78722;0,36603
1,101;0,45422
1,12092;0,44462
0,33904;0,14739
0,51441;0,48145
0,75976;0,52693
0,20738;0,71432
0,28436;0,87374
0,34936;1,73899
0,67327;-1,70124
0,24487;0,81978
0,91983;0,66308
0,24577;0,8504
0,26861;-1,34143
1,43783;0,86983
-1,54016;3,5396
0,22866;0,54357
0,28756;-1,31443
0,3766;0,71719
0,28085;0,9396
0,196;-3,59767
0,55322;-1,81539
0,66292;-2,69539
0,37344;-2,1741
0,40186;1,87273
0,48821;-1,37655
-1,31601;0,40471
0,85293;1,63308
0,20069;0,77384
0,57061;-1,74591
-1,48857;-2,15733
-1,75012;-1,76421
0,29023;0,69486
1,45688;0,83768
1,77731;1,26362
0,70606;0,64877
0,54833;0,71761
0,36609;0,23054
-1,83568;0,11181
0,77187;0,10376
0,1941;0,25517
0,34166;0,12683
0,73898;0,74192
0,3636;0,70968
0,41449;0,18976
0,19172;0,28977
0,25495;0,17814
0,45803;0,80831
0,15086;0,10946
0,82682;0,16954
1,27678;0,98662
0,28204;0,92212
0,10958;0,89693
0,98367;1,50284
0,3714;0,59871
0,30219;0,28531
0,19334;0,56433
0,12739;0,30305
-1,28272;1,37745
0,55796;-1,54156
0,53888;0,20046
0,12078;0,21654
-1,64815;-1,51835
1,71734;0,45419
0,47362;0,70058
-1,19235;-1,62276
1,58906;0,70335
1,28444;1,2393
1,6432;0,63302
1,64632;0,88088
0,95605;0,85748
0,87211;0,69913
0,24475;0,75539
0,30824;0,26482
-1,26379;0,97784
0,85195;0,13642
0,13117;0,71148
0,22902;0,93653
0,5017;0,1676
0,19409;0,32609
0,48549;0,74953
0,19893;0,90882
0,10943;0,45871
-1,56745;0,95827
0,82035;-2,83352
2,28531;0,73614
-1,483;0,3662
-2,16836;0,8891
0,80059;0,80296
-1,38119;1,47298
-4,26765;1,68156
0,67677;0,33685
-1,50565;0,98813
0,3177;1,64552
-2,35671;-1,16967
-1,87911;0,40054
0,45431;-1,25969
2,72385;0,3626
0,67966;1,92134
-1,27451;0,45188
2,82145;-1,1788
0,34147;2,50254
-2,49147;0,2043
-1,72342;0,83935
0,19853;0,21697
0,79332;0,65478
-2,45957;0,75502
0,54862;-2,17182
3,69146;-2,43083
0,60439;-1,90593
-3,36011;0,42739
3,53389;-1,44078
1,52242;2,24107
0,75708;1,82829
0,9589;0,70845
2,43895;1,75274
2,39518;0,55709
-1,91712;-1,13342
-2,24079;-2,26027
-3,40127;0,38411
-2,19364;0,83761
1,56789;-1,28067
0,26341;2,16022
1,28485;2,79573
0,13644;0,55857
1,58615;0,35881
0,27766;0,43503
0,5784;0,84409
0,44862;-1,37133
0,17386;0,1853
1,96298;0,13052
0,88982;-1,35189
-2,18571;2,58317
1,99124;-1,89343
1,78702;-1,16887
0,85183;0,33922
2,34034;-1,31721
0,26769;0,24608
0,19047;0,72222
-1,37275;0,66397
0,48925;-2,37973
0,44133;0,10691
0,93577;1,88228
0,29982;0,5469
0,52409;2,90653
0,22073;-3,69579
1,29046;2,91651
1,34216;3,8791
-1,11404;1,71412
0,65593;3,4514
0,60432;0,83228
0,53903;4,76503
1,84893;-2,5302
2,63314;2,94205
2,24333;0,47583
-1,37621;3,21462
0,6729;-1,35
0,25451;3,57165
0,28707;0,64741
0,55833;0,26565
1,64019;2,59277
0,41733;-2,7706
0,6471;-2,75758
1,38085;-1,4526
-1,17452;2,80471
-2,42708;-2,87519
-1,15887;2,81193
-2,64096;0,82844
0,5339;-2,20873
0,27811;-3,84529
1,60472;3,70311
0,59221;0,3653
1,41139;-1,8522
0,67394;-2,77027
0,56523;2,14358
0,40965;-1,67268
-2,12458;3,6679
-1,44635;-3,71047
0,10469;0,42591
1,68775;0,85685
1,53803;0,55821
0,43505;-2,52124
0,51575;1,67024
1,54304;4,56268
-1,78991;-5,30765
-3,72696;5,27805
0,80011;0,99271
-1,15501;1,37626
0,74561;-1,5578
0,43585;-2,72918
0,83145;-2,27231
0,49614;1,88852
0,24549;0,74539
2,40877;-3,13886
0,15423;0,6325
-1,44789;-2,15176
0,77255;0,56592
1,63975;1,3887
0,86527;1,17609
-2,63952;0,39985
-1,80812;-1,3038
0,63761;0,39747
-2,47017;2,25344
3,99589;0,40341
3,82537;1,45132
0,69465;0,78538
-3,61247;0,29321
-2,24436;-1,7957
1,27532;1,13926
-1,12304;3,4886
0,75399;-1,68578
4,74321;2,18108
3,8478;-1,94545
5,97029;0,34704
0,16758;-1,27262
-6,4609;1,77013
6,29387;2,19303
-2,51431;0,86244
4,77755;1,8574
0,45284;-4,93898
0,40437;5,19738
-1,81309;0,50718
0,41799;-2,12308
-3,22822;-1,27775
0,32061;0,43265
-2,42017;0,97844
1,14696;-1,76916
1,40454;-1,55307
-2,84208;1,75372
1,78617;0,40248
-1,92947;-2,86026
3,21184;-1,17253
-1,63776;0,93574
-3,49501;-2,50937
3,33062;1,14993
5,73727;1,94359
0,73537;0,80326
0,48262;0,501
-2,60015;0,78886
-1,97764;0,30198
0,66728;1,12289
1,42269;0,54543
-1,41819;0,18267
-1,67185;-1,12307
0,16343;0,1501
0,12327;0,52621
0,52099;0,37822
0,28474;-1,82334
0,67016;2,73489
0,30858;0,48809
0,54154;2,18268
0,6625;2,94829
0,67456;1,63055
0,12093;-2,68739
0,48177;0,21239
0,23182;0,41496
0,7929;-3,63873
0,58292;0,69949
1,4415;-1,37065
-1,14846;0,6001
0,76632;-1,45115
1,72128;1,49776
-2,72154;0,88947
-1,61257;0,24463
1,19585;1,15688
-1,11519;0,39432
0,94249;0,23101
2,71411;1,2368
-1,73108;0,1748
-2,39999;0,12021
-4,80095;-1,14771
0,91812;0,78133
-2,18361;0,24405
2,81854;0,91161
-2,37842;0,90409
0,63278;0,60308
0,52979;-2,40013
0,12799;0,33018
-1,1462;1,78627
1,18799;0,18706
1,27144;0,21064
0,73251;3,43355
-1,78126;3,26223
2,14262;-2,19018
0,9757;2,23864
1,34031;-3,72654
-1,20184;2,95752
1,90886;0,14362
0,43604;-1,12932
0,75094;-2,88134
0,73055;0,27016
0,56542;1,32381
0,4264;-1,11097
0,88768;-1,64344
0,87731;0,8367
1,52181;0,52625
-1,18451;-2,32065
0,74039;0,63264
-1,54916;0,23782
0,91361;0,59633
0,53166;-1,49032
1,48628;-1,90468
1,49965;0,59271
0,13965;0,10739
1,87594;0,82592
-2,40967;-1,13454
-1,57605;0,42662
-1,26306;0,21535
-1,34963;0,12273
1,66129;0,43424
-1,22606;0,36695
0,30486;-1,94526
0,46103;0,49266
0,24088;-3,10523
0,78819;1,88725
-1,39835;2,17761
0,56489;1,82659
0,32332;1,3826
-1,56263;1,27837
-3,26851;0,26515
2,19506;2,15546
0,15988;-1,87751
2,2104;0,14314
-2,21772;2,61295
2,92585;1,86505
2,79703;-2,13106
1,24668;0,45308
0,40565;0,3454
0,60803;0,21479
-1,11081;2,19961
1,16121;0,20546
1,63129;1,88616
1,84468;0,12362
-5,11464;1,99918
3,96968;0,31902
-1,87135;0,23967
0,62515;-2,40314
-4,62631;0,82137
0,7987;1,22127
-2,61314;0,49276
0,87477;0,17959
1,2164;0,83247
0,39035;0,88708
-1,59506;2,29232
0,85458;1,80275
0,267;0,82342
0,17745;0,77242
2,15599;0,21397
0,15598;0,18567
-2,42186;1,45533
-1,27221;1,64407
0,44199;0,86546
1,26294;1,94611
0,63333;-2,30389
0,20133;3,47831
0,52383;-1,3557
0,8414;0,35117
0,29997;0,55046
-1,37794;-1,28737
0,12051;0,97681
0,63942;2,6134
0,22091;0,13342
0,51877;1,55084
0,36289;-1,36948
0,54416;1,85072
0,54523;0,48769
1,2017;0,23813
0,91776;0,65825
-1,11622;0,46522
0,6048;-1,49325
-1,21798;-2,33157
-1,86694;1,77556
0,41069;0,16236
-2,62667;-2,14979
-1,25824;-1,67412
-2,31189;1,45505
-2,88766;1,4879
0,24855;0,19582
1,39298;0,27023
-2,70855;1,90636
0,25498;0,93271
0,96579;0,33792
0,68987;-3,78093
1,30209;0,83901
1,34381;1,91544
0,35258;1,5677
0,51071;0,83561
0,85898;-1,4811
0,75301;0,6223
2,85239;2,66947
0,8881;-1,27746
0,95867;0,97559
0,89741;-1,3128
-1,55072;0,50803
-1,91417;2,82531
-1,35139;-2,36525
1,62138;0,15573
0,35942;2,31352
0,39594;-2,33334
1,54311;0,63558
1,13459;-1,77617
0,86017;1,62161
1,40768;0,69931
0,99916;-2,93199
0,98055;3,20725
0,38596;0,44774
1,52618;0,70418
1,80112;3,58776
-2,78288;-5,55084
0,71721;-5,94195
0,9075;-4,2186
3,20238;-4,13618
0,69969;2,60985
-2,97283;0,3202
0,51898;0,67025
-1,21591;1,35991
-1,4724;0,32085
0,14053;-1,52379
1,90027;0,26828
2,70637;0,34356
0,96719;0,30901
0,47342;-2,25691
0,64769;0,90552
0,71835;-1,98451
0,81989;0,20221
2,70092;0,10378
4,1912;1,17654
0,98549;0,12044
3,47391;2,15504
1,75384;-1,37732
3,61002;-1,32489
0,86829;0,96032
0,92071;0,2388
0,51803;0,22056
2,13628;-1,33006
3,10017;2,26095
-2,57275;0,38492
