<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.MCD.W,D,20100104,000000,62.7800000
US1.MCD.W,D,20100105,000000,62.3000000
US1.MCD.W,D,20100106,000000,61.4500000
US1.MCD.W,D,20100107,000000,61.9000000
US1.MCD.W,D,20100108,000000,61.8400000
US1.MCD.W,D,20100111,000000,62.3200000
US1.MCD.W,D,20100112,000000,62.6600000
US1.MCD.W,D,20100113,000000,62.5900000
US1.MCD.W,D,20100114,000000,62.6500000
US1.MCD.W,D,20100115,000000,62.2800000
US1.MCD.W,D,20100119,000000,63.4800000
US1.MCD.W,D,20100120,000000,63.0100000
US1.MCD.W,D,20100121,000000,63.2000000
US1.MCD.W,D,20100122,000000,63.3900000
US1.MCD.W,D,20100125,000000,63.0900000
US1.MCD.W,D,20100126,000000,63.8100000
US1.MCD.W,D,20100127,000000,63.7300000
US1.MCD.W,D,20100128,000000,62.8300000
US1.MCD.W,D,20100129,000000,62.4300000
US1.MCD.W,D,20100201,000000,63.8900000
US1.MCD.W,D,20100202,000000,64.0300000
US1.MCD.W,D,20100203,000000,65.2100000
US1.MCD.W,D,20100204,000000,64.0600000
US1.MCD.W,D,20100205,000000,63.3700000
US1.MCD.W,D,20100208,000000,62.9200000
US1.MCD.W,D,20100209,000000,63.5700000
US1.MCD.W,D,20100210,000000,63.2500000
US1.MCD.W,D,20100211,000000,63.7900000
US1.MCD.W,D,20100212,000000,63.5900000
US1.MCD.W,D,20100216,000000,64.0100000
US1.MCD.W,D,20100217,000000,64.2600000
US1.MCD.W,D,20100218,000000,64.4800000
US1.MCD.W,D,20100219,000000,64.7400000
US1.MCD.W,D,20100222,000000,64.7700000
US1.MCD.W,D,20100223,000000,64.8700000
US1.MCD.W,D,20100224,000000,65.2600000
US1.MCD.W,D,20100225,000000,64.3800000
US1.MCD.W,D,20100226,000000,63.8500000
US1.MCD.W,D,20100301,000000,63.9800000
US1.MCD.W,D,20100302,000000,64.0700000
US1.MCD.W,D,20100303,000000,63.6300000
US1.MCD.W,D,20100304,000000,63.4300000
US1.MCD.W,D,20100305,000000,63.6700000
US1.MCD.W,D,20100308,000000,65.1200000
US1.MCD.W,D,20100309,000000,65.1000000
US1.MCD.W,D,20100310,000000,64.9400000
